,Country/Region,DeathRate,VaccineRate,ratioRates,name,region
23,Bulgaria,0.5682331419229637,0.40365437876079874,1.4077219815313649,Bulgaria,Europe
24,Burkina Faso,0.0017484158553200168,0.018113954022549478,0.096523147466504,Burkina Faso,Africa
25,Burundi,0.00036113458695158384,3.841501168268296e-05,9.40087145969499,Burundi,Africa
26,Cabo Verde,0.10866638182059725,0.886994502949593,0.12251077256875925,Cabo Verde,Africa
27,Cambodia,0.014628681605838441,1.6324197801610267,0.008961347922649788,Cambodia,Asia
28,Cameroon,0.010359187401517377,0.018671448143680512,0.554814351934642,Cameroon,Africa
29,Canada,0.14853521379316875,3.0925797327984537,0.048029550287054454,Canada,Americas
30,Central African Republic,0.004212880634291738,0.07959551226126425,0.052928620152143516,Central African Republic,Africa
31,Chad,0.0022408819989387305,0.012089770771484269,0.18535355560456304,Chad,Africa
32,Chile,0.36600979753826207,1.8610646184656199,0.19666689372667986,Chile,Americas
33,China,0.0007201774396902946,1.5719387085792482,0.00045814600515894563,China,Asia
34,Colombia,0.4427049044488327,1.8226014986430543,0.24289725690362435,Colombia,Americas
35,Comoros,0.035925495161539825,0.46727894625269994,0.07688233216934123,Comoros,Africa
36,Costa Rica,0.2031705015799197,1.2412473310313008,0.16368252845394946,Costa Rica,Americas
37,Croatia,0.4191757591778417,0.8719102674433434,0.48075561767034664,Croatia,Europe
38,Cuba,0.06182603320273887,2.2459372042872516,0.027527943828847774,Cuba,Americas
39,Cyprus,0.07474981098300419,1.0004251848395962,0.07471804200429966,Cyprus,Asia
40,Denmark,0.09440851792166025,1.5517773276418358,0.06083895945633418,Denmark,Europe
41,Djibouti,0.03283063101811606,0.09298528846066473,0.353073390012704,Djibouti,Africa
42,Dominica,0.01580182456919894,0.7080411569490537,0.02231766390147281,Dominica,Americas
43,Dominican Republic,0.07514769708135899,1.2148830915680033,0.06185590827868772,Dominican Republic,Americas
44,Ecuador,0.31332419260564387,1.2256734973753434,0.2556343049569042,Ecuador,Americas
45,Egypt,0.03295492696869443,0.24434098533042256,0.13487269409235397,Egypt,Africa
46,El Salvador,0.08654631301079818,1.2957190034447421,0.06679404468153197,El Salvador,Americas
47,Equatorial Guinea,0.019010662788859198,0.3025909321981624,0.06282628051923708,Equatorial Guinea,Africa
48,Estonia,0.20378037722366818,2.1468810041207727,0.09491926978371296,Estonia,Europe
49,Eswatini,0.16036543446968035,0.2353426550442123,0.6814125320356972,Eswatini,Africa
50,Ethiopia,0.00837309876071305,0.03767673537718084,0.2222352514592937,Ethiopia,Africa
51,Fiji,0.05859579109442909,1.2991155036971924,0.0451043736508952,Fiji,Oceania
52,Finland,0.038227163508164665,1.4524321136032257,0.026319414966204425,Finland,Europe
